member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10% / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,4,4,7,937770,234442.5
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,53,53,59,937060,17680.377358490565
FAMILY,쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 사용,일반 상품,2,2,10,935370,467685.0
FAMILY,쿠폰 사용,202603 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,10,925330,92533.0
FAMILY,쿠폰 사용,GNR 스페셜 20%,포인트 사용,일반 상품,21,21,25,886490,42213.80952380953
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,7,7,11,869000,124142.85714285714
FAMILY,쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 미사용,일반 상품,10,10,10,862000,86200.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,2,855740,427870.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,7,854460,142410.0
FAMILY,쿠폰 사용,등급할인10% / 25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,7,7,10,849060,121294.28571428571
FAMILY,쿠폰 사용,등급할인10% / 2026년 5월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,8,836340,418170.0
FAMILY,쿠폰 미사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능)",포인트 미사용,일반 상품,33,33,35,823700,24960.60606060606
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,4,4,7,817920,204480.0
FAMILY,쿠폰 사용,25년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,4,4,8,808020,202005.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,3,3,4,803250,267750.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,5,5,9,802270,160454.0
FAMILY,쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,10,10,16,793100,79310.0
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,17,17,23,785000,46176.470588235294
