order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue
2024-06-01,FAMILY,긴바지,긴바지,1,1,2,128160
2024-06-01,FAMILY,남성,남성,2,2,3,309590
2024-06-01,FAMILY,남성,긴바지,1,1,2,128160
2024-06-01,FAMILY,반바지,햇,1,1,1,36650
2024-06-01,FAMILY,셋업,남성,1,1,2,270090
2024-06-01,FAMILY,햇,햇,1,1,1,36650
2024-06-02,FAMILY,남성,남성,2,2,4,62220
2024-06-02,FAMILY,라운드티,라운드티,2,2,2,96150
2024-06-02,FAMILY,하이킹,UNKNOWN,1,1,1,83720
2024-06-02,SILVER,긴바지,남성,1,1,2,178140
2024-06-02,SILVER,남성,남성,1,1,2,178140
2024-06-03,FAMILY,긴바지,남성,1,1,3,153500
2024-06-03,FAMILY,남성,남성,4,4,7,545560
2024-06-03,FAMILY,남성,하이킹,1,1,1,153340
2024-06-03,FAMILY,라운드티,남성,2,2,5,308060
2024-06-04,FAMILY,남성,남성,1,1,1,37550
2024-06-04,FAMILY,라운드티,남성,1,1,1,36200
2024-06-04,FAMILY,여성,라운드티,1,1,1,65540
2024-06-04,FAMILY,하이킹,남성,1,1,2,60780
2024-06-04,SILVER,UNKNOWN,UNKNOWN,1,1,1,72700
2024-06-04,SILVER,남성,UNKNOWN,1,1,1,72700
2024-06-05,FAMILY,긴바지,긴바지,2,2,2,190670
2024-06-05,FAMILY,긴바지,맨투맨/후드티,1,1,1,89000
2024-06-05,FAMILY,긴바지,반바지,1,1,1,49000
2024-06-05,FAMILY,남성,여성,1,1,1,140130
2024-06-05,FAMILY,남성,라운드티,1,1,1,34300
2024-06-05,FAMILY,라운드티,여성,1,1,1,76600
2024-06-05,FAMILY,라운드티,긴바지,1,1,1,71470
2024-06-05,FAMILY,라운드티,라운드티,1,1,1,53380
2024-06-05,FAMILY,라운드티,남성,1,1,1,40020
2024-06-05,FAMILY,반바지,긴바지,1,1,1,71470
2024-06-06,FAMILY,UNKNOWN,남성,1,1,1,58920
2024-06-06,FAMILY,남성,남성,2,2,2,96170
2024-06-06,FAMILY,남성,바람막이,1,1,1,65840
2024-06-06,FAMILY,남성,여성,1,1,1,34500
