coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 미사용,쿠폰 미사용,포인트 미사용,프로모션 상품,6,6,7,425000,0,0,63750,70833.33333333333
쿠폰 사용,Winter Festival 10% (오후6시) / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,1,424370,57930,7000,0,424370.0
쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 10% (오전10시),포인트 사용,일반 상품,1,1,1,421270,52030,2000,0,421270.0
쿠폰 사용,HSS 30% 할인 쿠폰 / HSS 30% 할인 쿠폰,포인트 사용,일반 상품,6,5,12,416826,192444,32210,0,69471.0
쿠폰 사용,"신규회원 스페셜 5,000 / Winter Festival 20% (오전10시)",포인트 사용,일반 상품,2,2,3,416180,114760,2860,0,208090.0
쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,415060,61340,2000,0,415060.0
쿠폰 사용,비오는날 10% 스페셜 할인,포인트 사용,일반 상품,6,6,6,410710,51400,51890,0,68451.66666666667
쿠폰 사용,비오는날 10% 스페셜 할인 / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,3,3,3,408800,80700,17500,0,136266.66666666666
쿠폰 사용,Winter Festival 10% (오후6시) / 2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,2,407120,55680,4000,0,203560.0
쿠폰 사용,202604 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,5,5,5,400230,94470,0,0,80046.0
