product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,avg_days_since_prev_order,quantity,revenue,image_url,image_source,repeat_rate
C75YM5970010,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,,3,3,2.6666666666666665,3,371600,assets/product_images/C75YM5970010.jpg,excel_map+downloaded,1.0
C65PU2409010,공용 스트림 이어폰케이스,Price Stream Earphone Case,,8,7,3.0,46,370900,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C65PU2409010.jpg,styleship_cdn_pattern,0.875
C52FM7047316,공용 PFG 바하마™II 반팔 셔츠,Bahama™ II S/S Shirt,,5,5,2.6,5,370520,assets/product_images/C52FM7047316.jpg,styleship_cdn_pattern+downloaded,1.0
C56BK5371271,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF,,3,3,1.25,4,370470,assets/product_images/C56BK5371271.jpg,excel_map+downloaded,1.0
C44EE0371460,공용 헬베시아™ 하프 스냅 플리스 티셔츠,Helvetia™ Half Snap Fleece,,7,7,3.5714285714285716,7,370230,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C44EE0371460.jpg,styleship_cdn_pattern,1.0
C52XE4919010,남성 아덴 폴즈 팬츠,Arden Falls™ Pant,,6,6,3.3333333333333335,6,369750,assets/product_images/C52XE4919010.jpg,styleship_cdn_pattern+downloaded,1.0
C52YM6438023,남성 파인즈 투 애비뉴™ 크루,M's Pines to Avenue™ Crew,,8,8,3.0,8,369260,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52YM6438023.jpg,styleship_cdn_pattern,1.0
C54WE8837010,남성 발리스틱 릿지 인슐레이션 셔켓,Ballistic Ridge™ II Shirt Jacket,,4,3,0.4,5,366960,assets/product_images/C54WE8837010.jpg,excel_map+downloaded,0.75
C55BI5371326,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD™ MID WATERPROOF WIDE,,4,4,3.5,4,365470,assets/product_images/C55BI5371326.jpg,styleship_cdn_pattern+downloaded,1.0
C71WE0791454,남성 애커 록 트윌 인터체인지 데님 자켓,Acker Rock Twill Interchange Jacket,,2,2,5.5,2,365170,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71WE0791454.jpg,styleship_cdn_pattern,1.0
C52XO3600010,남성 블루스템 7부 니 팬츠,Bluestem™ Knee Pant,,6,6,3.0,6,364920,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52XO3600010.jpg,styleship_cdn_pattern,1.0
C54YM3472211,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,1,1,0.0,1,364770,assets/product_images/C54YM3472211.jpg,excel_map+downloaded,1.0
C62YM6536160,남성 스토니 레이크 OFZ 아이스플러스 셋업 폴로,M's Stony Lake OFZ ICE+ Set Up Polo,,5,5,3.4,5,362910,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62YM6536160.jpg,styleship_cdn_pattern,1.0
C65YE4769010,남성 트랜스트레커 아웃드라이,TRANS TREKKER OUTDRY WIDE,,3,3,2.0,3,359100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C65YE4769010.jpg,styleship_cdn_pattern,1.0
C63YM3593416,공용 365 트랙 2L 방수자켓,365 TREK 2L Rain Jacket,,2,2,1.0,2,359000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C63YM3593416.jpg,styleship_cdn_pattern,1.0
C53XO6631010,[Disney] 공용 미키마우스 아이벡스™ 레인 방수 자켓,CSC x Disney Mickey Mouse Ibex™ Rain Shell,,1,1,2.0,1,359000,assets/product_images/C53XO6631010.jpg,styleship_cdn_pattern+downloaded,1.0
C64WR9847554,[공식몰 단독] 여성 어메이즈 퍼프 후디드 다운자켓,Amaze Puff Hooded Jacket,,2,2,4.5,2,358800,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64WR9847554.jpg,styleship_cdn_pattern,1.0
C54YL3471271,여성 스노우 타워 레이크™ 다운 자켓,Ws Snow Tower Lake™ Down Jacket,,2,2,5.0,2,358800,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C54YL3471271.jpg,styleship_cdn_pattern,1.0
C64WR9847010,[공식몰 단독] 여성 어메이즈 퍼프 후디드 다운자켓,Amaze Puff Hooded Jacket,,2,2,2.0,2,358800,assets/product_images/C64WR9847010.jpg,styleship_cdn_pattern+downloaded,1.0
C62XE8841371,공용 콜드 베이 대쉬 그래픽 반팔 티셔츠,Cold Bay Dash Short Sleeve Tee,,9,8,3.333333333333333,9,358250,assets/product_images/C62XE8841371.jpg,excel_map+downloaded,0.8888888888888888
C65YE6448010,남성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,,3,3,2.3333333333333335,3,358000,assets/product_images/C65YE6448010.jpg,excel_map+downloaded,1.0
C66YM0696027,공용 다운 투 다크 트래퍼,Dawn-to-DarkⅡ TRAPPER,,6,6,4.833333333333334,6,357860,assets/product_images/C66YM0696027.jpg,excel_map+downloaded,1.0
C52AE9642027,남성 아이스 레이크 라운드 반팔 티셔츠,Ice Lake™ II SS Tee,,10,10,4.2,10,356760,assets/product_images/C52AE9642027.jpg,styleship_cdn_pattern+downloaded,1.0
C66YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,8,8,3.1249999999999996,8,356690,assets/product_images/C66YU0369010.jpg,styleship_cdn_pattern+downloaded,1.0
C56YR0136039,여성 트랜스트레커 아웃드라이,TRANS TREKKER™ OUTDRY,,3,3,2.3333333333333335,3,356590,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C56YR0136039.jpg,styleship_cdn_pattern,1.0
C62AM2590464,남성 유틸라이저 반팔 시어서커 캠프 셔츠,Utilizer SS Camp Shirt,,6,6,4.333333333333334,6,355680,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62AM2590464.jpg,styleship_cdn_pattern,1.0
C75BI9168096,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,3,2,2.0,3,354300,assets/product_images/C75BI9168096.jpg,excel_map+downloaded,0.6666666666666666
C64YL8596010,여성 스톤 데쉬 플리스 스트레이트 팬츠,W's Stone Dash Fleece Straight Pants,,3,3,3.0,3,354230,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64YL8596010.jpg,styleship_cdn_pattern,1.0
C55BL5371020,여성 크레스트우드 미드 워터프루프,CRESTWOOD™ MID WATERPROOF,,4,4,1.0,4,354170,assets/product_images/C55BL5371020.jpg,styleship_cdn_pattern+downloaded,1.0
C56PU8732010,공용 그레이트 스모키 가든 바디백,Great Smoky Garden™ Body bag,,2,2,2.5,11,354000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C56PU8732010.jpg,styleship_cdn_pattern,1.0
C64XL8880454,[DISNEY] 여성 디즈니 하프 스냅 플리스 티셔츠,W ColumbiaㅣDISNEY Half Snap,,3,3,4.0,3,353840,assets/product_images/C64XL8880454.jpg,styleship_cdn_pattern+downloaded,1.0
C52WE9484349,[공식몰 단독]남성 루프 트레일 바람막이 방풍 자켓,Loop Trail™ II Windbreaker,,4,4,5.25,4,353750,assets/product_images/C52WE9484349.jpg,styleship_cdn_pattern+downloaded,1.0
C55YU6322212,공용 헤이지 저니 워터프루프,HAZY JOURNEY™ WATERPROOF,,3,3,2.3333333333333335,3,353100,assets/product_images/C55YU6322212.jpg,styleship_cdn_pattern+downloaded,1.0
C54AR3793224,여성 클라우드 포인트™ 스냅 플리스 자켓,Cloud Point™ Snap Fleece,,5,4,4.0,5,352490,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C54AR3793224.jpg,styleship_cdn_pattern,0.8
C65UU4597010,공용 트리플캐니언 백팩,Triple Canyon 24L Backpack,,4,4,1.75,4,351850,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C65UU4597010.jpg,styleship_cdn_pattern,1.0
C46RMS252AS1,남성 노르딕페어아일 보온양말 2팩,MEN S NORDIC FAIR ISLE MEDIUM WEIGHT THERMAL,,32,31,3.5625,56,350810,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C46RMS252AS1.jpg,styleship_cdn_pattern,0.96875
C63PM0537125,[요나스 컬렉션] 공용 레이크 투 에비뉴 그래픽 반팔 티셔츠,Lake To Avenue Graphic Ss Tee,,8,8,1.875,8,350570,assets/product_images/C63PM0537125.jpg,styleship_cdn_pattern+downloaded,1.0
C62WR4004010,여성 파라큐티II 윈드브레이커 자켓,Paracutie II Windbreaker,,3,3,1.6666666666666667,3,349800,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62WR4004010.jpg,styleship_cdn_pattern,1.0
C54AE5057278,남성 크리스탈리프™ 옴니히트™ 헬릭스 하프집 티셔츠,Crystal Leaf™ Omni-Heat™ Helix Half Zip,,6,6,4.666666666666667,6,349720,assets/product_images/C54AE5057278.jpg,styleship_cdn_pattern+downloaded,1.0
C56YU4749247,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,2,2,3.0,2,348950,assets/product_images/C56YU4749247.jpg,excel_map+downloaded,1.0
C54AR7330348,여성 헬베시아 II 크롭 하프스냅 플리스 아노락,Helvetia™ II Cropped Half Snap Fleece,,6,6,2.5,6,347500,assets/product_images/C54AR7330348.jpg,excel_map+downloaded,1.0
C55YU9904337,공용 니들락데쉬 3단 듀얼스틱,NEEDLE ROCK DASH™ 3 STICK,,4,4,4.25,4,347500,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C55YU9904337.jpg,styleship_cdn_pattern,1.0
C56YL1117247,여성 플라토 벤쳐 워터프루프 보아,PLATEAU VENTURE WP BOA,,4,4,2.75,4,346400,assets/product_images/C56YL1117247.jpg,excel_map+downloaded,1.0
