product_code,product_name_kor,product_size,product_color,orders,buyers,quantity,revenue
C56YU2743010,공용 옐로우테일 쇼티 WP OH,250,010,24,24,24,2197370
C55YM8908292,[공식몰 단독] 남성 쓰라이브 리바이브 샌들,270,292,18,18,18,2192310
C52AM4540011,남성 페인티드 피크 쇼츠,L,011,47,47,47,2192050
C64YM3596010,남성 스톤 데쉬 플리스 자켓,95,010,10,10,15,2189410
C62WE2798010,공용 코브 비치 윈드브레이커 자켓,M,010,19,18,21,2182580
C56YU4749010,공용 헨리포크 부츠 OT OHI,270,010,16,13,16,2179780
C54AE5780861,[공식몰 단독] 남성 헬베시아 II 하프스냅 플리스 아노락,M,861,41,41,41,2178390
C56PU5711010,공용 세이버스 돔 이어플랩 캡,OS,010,65,61,67,2177190
C56YE4769339,남성 트랜스트레커 아웃드라이,265,339,15,15,15,2172300
C65YU0657271,공용 베이스 투 스위프 쉐이드 부니,60,271,39,38,39,2171940
C64WR9847010,[공식몰 단독] 여성 어메이즈 퍼프 후디드 다운자켓,S,010,10,10,10,2167530
C55PU5670010,[공식몰 단독]공용 티핀힐 폴더블 부니,SM,010,53,53,53,2166970
C64XL8880100,[DISNEY] 여성 디즈니 하프 스냅 플리스 티셔츠,S,100,19,19,19,2164280
C54YM3486010,남성 그레타 에비뉴™ 다운 자켓,100,010,13,12,14,2164160
C54YM8496211,남성 하이크 보울 코브™ 플리스 조거 팬츠,85,211,25,25,25,2161370
C54AE5780191,남성 헬베시아 II 하프스냅 플리스 아노락,M,191,40,40,41,2159620
C64XE0098010,남성 클로브 서밋 경량 패딩 + 방수 인터체인지 자켓,XXL,010,7,7,7,2157940
C54YL3496249,여성 하이크 보울 코브™ 플리스 자켓,95,249,18,17,18,2154773
C66YU9682010,공용 샙랜드4 처카 워터프루프 옴니히트,275,010,15,14,15,2154220
C51WR2496010,여성 앰플리 드라이™ 방수 2.5L 자켓,M,010,15,15,15,2152240
C62XE2326010,남성 클레어몬트II 경량 바람막이 자켓,XXL,010,28,27,29,2151620
C54YM3496211,남성 하이크 보울 코브™ 플리스 자켓,95,211,18,18,18,2150380
C61YM7591466,공용 365 마운틴 긴팔 셔켓,100,466,17,16,17,2150280
C65YU2555338,공용 채드윅 니트,270,338,22,22,23,2150210
C56PU8729719,공용 그레이트 스모키 가든 2 WAY 토트백,OS,719,15,13,43,2144420
C62YM6536010,[추영우 착용] 남성 스토니 레이크 OFZ ICE+ 셋업 폴로 티셔츠,110,010,27,26,30,2142120
C54YM3473278,남성 클라이브 레이크 Ⅱ 다운 자켓,110,278,7,7,7,2139960
C51WE4267011,남성 페인티드 피크™ 윈드 자켓,L,011,37,37,37,2139770
C55BI5371326,남성 크레스트우드 미드 워터프루프 와이드핏,275,326,24,24,24,2139310
C54WR3825010,여성 드랍 릿지 II 인터체인지 자켓,M,010,11,11,11,2138410
C54WE4714681,공용 하이크바운드 인터체인지 자켓,XL,681,15,15,15,2137906
C65YU0368010,공용 더글라스 패스 30L 백팩,30L,010,22,22,22,2137780
C54AR5760464,여성 헬베시아 II 프린티드 크롭 하프스냅,M,464,29,29,29,2136530
C54YM8482011,남성 밸리 투 패스™ 카고 테이퍼드 팬츠,85,011,21,21,21,2132980
C53AE9081010,남성 왈로와™ 플리스 스웨트팬츠,XL,010,39,38,42,2132500
C66YU0672013,공용 스노우슈 돔2 플리스 플랩캡,60,013,68,67,69,2130940
C64XE9996010,남성 타임 투 트레일 옴니히트 팬츠,M,010,20,19,20,2127010
C54YM3489299,남성 밸리 투 패스™ 헤비 다운 자켓,105,299,8,8,8,2123350
C46BM9621010,남성 패시트75 알파 아웃드라이,270,010,17,17,17,2122120
C53FM8161010,남성 PFG 맥킨지 리버™ 자켓,XL,010,14,13,15,2121384
C62XE8841371,공용 콜드 베이 대쉬 그래픽 반팔 티셔츠,L,371,63,63,63,2114080
C55YU6488063,공용 호쏜 레인 로우 알트 방수 스니커즈,240,063,25,25,25,2111250
C54AR5760464,여성 헬베시아 II 프린티드 크롭 하프스냅,L,464,28,28,28,2109350
C64YM8578010,남성 니나 트레일 인슐레이션 스트레이트 팬츠,90,010,14,14,14,2102020
C66YU9682010,공용 샙랜드4 처카 워터프루프 옴니히트,240,010,14,14,14,2098050
C56YU5200273,[공식몰 단독] 공용 호버튜버 옴니테크,260,273,29,29,29,2097608
C56BI5371240,남성 크레스트우드 미드 워터프루프 와이드핏,265,240,22,22,22,2097320
C46BM6754010,남성 픽프릭2 미드 아웃드라이 레더,260,010,15,15,16,2096730
C53WE4318010,남성 왈로와™ 소프트쉘 풀이밴드 팬츠,XXL,010,29,29,33,2096410
