order_date,product_code,product_name_kor,product_name,source_image_url,first_orders,first_buyers,quantity,revenue,image_url,image_source
2026-04-19,C75YU0374010,레드 에비뉴 20L 백팩,RED AVENUE 20 BACKPACK,,2,2,2,206390,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0374010.jpg,styleship_cdn_pattern
2026-04-19,C72YM3596010,남성 엔조이 365 II 경량 윈드 자켓,M’s Enjoy 365 II Light Wind Jacket,,1,1,1,203600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72YM3596010.jpg,styleship_cdn_pattern
2026-04-19,C71XE9920010,[추영우 착용] 공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,,1,1,1,183870,assets/product_images/C71XE9920010.jpg,excel_map+downloaded
2026-04-19,C71XE9920464,공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,,1,1,1,176870,assets/product_images/C71XE9920464.jpg,excel_map+downloaded
2026-04-19,C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,3,3,3,168800,assets/product_images/C75YU0369010.jpg,excel_map+downloaded
2026-04-19,C75BM4131247,[추영우 착용] 남성 픽프릭 러쉬 아웃드라이 미드,PEAKFREAK RUSH™ MID OUTDRY™,,1,1,1,143980,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM4131247.jpg,styleship_cdn_pattern
2026-04-19,C75BL4131011,여성 픽프릭 러쉬 아웃드라이 미드,PEAKFREAK RUSH™ MID OUTDRY™,,1,1,1,143980,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BL4131011.jpg,styleship_cdn_pattern
2026-04-19,C75BK9168028,여성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH™ OUTDRY™ WIDE,,1,1,1,143280,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BK9168028.jpg,styleship_cdn_pattern
2026-04-19,C72YM8623010,남성 다나 코브 OFZ ICE 스트레이트 팬츠,M's Dana Cove OFZ ICE Straight Pants,,1,1,1,138600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72YM8623010.jpg,styleship_cdn_pattern
2026-04-19,C72WR4004254,여성 파라큐티II 바람막이 자켓,Paracutie II Windbreaker,,1,1,1,138600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72WR4004254.jpg,styleship_cdn_pattern
2026-04-19,C71YM3606346,공용 쓰리 락 바람막이 자켓,M's Three Rock Jacket,,1,1,1,136780,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM3606346.jpg,styleship_cdn_pattern
2026-04-19,C75BI9168096,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,1,1,1,136780,assets/product_images/C75BI9168096.jpg,excel_map+downloaded
2026-04-19,C75BK9168063,여성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,1,1,1,129780,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BK9168063.jpg,styleship_cdn_pattern
2026-04-19,C55YM8908271,[공식몰 단독] 남성 쓰라이브 리바이브 샌들,THRIVE™ REVIVE SHANDAL,,1,1,1,129600,assets/product_images/C55YM8908271.jpg,styleship_cdn_pattern+downloaded
2026-04-19,C75PU8664031,공용 케슬락 15L 백팩,Castle Rock 15L Backpack,,2,2,2,129200,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75PU8664031.jpg,styleship_cdn_pattern
2026-04-19,C75YM5970010,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,,1,1,1,123680,assets/product_images/C75YM5970010.jpg,excel_map+downloaded
2026-04-19,C75YU0366010,공용 레드우드 30L 뉴 플러스 백팩,REDWOOD™30 N.PLUS BACKPACK,,1,1,1,120690,assets/product_images/C75YU0366010.jpg,excel_map+downloaded
2026-04-19,C75BM7354010,남성 코노스 TRS 아웃드라이 미드,KONOS™ TRS OUTDRY™ MID,,1,1,1,119600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM7354010.jpg,styleship_cdn_pattern
2026-04-19,C75YR8156012,여성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,,1,1,1,110770,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YR8156012.jpg,styleship_cdn_pattern
2026-04-19,C75BM0341252,[추영우 착용] 남성 픽프릭 러쉬 샌들,PEAKFREAK RUSH SHANDAL,,1,1,1,107860,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM0341252.jpg,styleship_cdn_pattern
2026-04-19,C75YE6448278,남성 트랜스 트레일 워터프루프,TRANS TRAIL™ WATERPROOF,,1,1,1,107270,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YE6448278.jpg,styleship_cdn_pattern
2026-04-19,C71AR0356272,여성 실버릿지 3.0 긴팔 셔츠,Silver Ridge 3.0 LS,,2,2,2,104940,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR0356272.jpg,styleship_cdn_pattern
2026-04-19,C72YL6627405,여성 폭스 패스 OFZ ICE+ 하프 집업 티셔츠,W's Fox Pass OFZ ICE+ Half Zip Up,,1,1,1,102600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72YL6627405.jpg,styleship_cdn_pattern
2026-04-19,C75YU2555105,공용 채드윅 니트 슬리퍼,CHADWICK KNIT,,1,1,1,100600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU2555105.jpg,styleship_cdn_pattern
